group,variable,value
Ninjas,FRETILN,0
Ninjas,HKBP,0
Ninjas,ETE,0
Ninjas,ETY,0
Ninjas,GAM,0
Ninjas,PIE,0
Ninjas,OPM,0
Ninjas,FALINTIL,0
Ninjas,NCMR,0
Ninjas,Irianese,0
Ninjas,Mob,0
Ninjas,Opposition,0
Ninjas,Youth,0
Ninjas,MM,0
Ninjas,Timorese S,0
Ninjas,MY,0
Ninjas,Timorese C,0
Ninjas,Muslims,0
Ninjas,Timorese G,0
Ninjas,PP,0
Ninjas,Aitarak,0
Ninjas,BMPM,0
Ninjas,AIE,0
Ninjas,PDR,0
Ninjas,Separatists,0
Ninjas,Mahidi,0
Ninjas,JI,0
Ninjas,Militia,0
Ninjas,Gunmen,0
Ninjas,KAK,0
Ninjas,ME,0
Ninjas,FPI,0
Ninjas,Dayak,0
Ninjas,Villagers,0
Ninjas,Mujahedin K,0
Ninjas,Laskar Jihad,0
Ninjas,Extremists,0
Ninjas,Mujahidin A,0
Ninjas,AGAP,0
Ninjas,JAT,0
Ninjas,MIT,0
Ninjas,WIM,0
Ninjas,JAD,0
Ninjas,CE,0
Ninjas,PPI,0
Ninjas,LT,0
Ninjas,ISIL,0
Ninjas,JIE,0
FRETILN,Ninjas,0
FRETILN,HKBP,2
FRETILN,ETE,2
FRETILN,ETY,2
FRETILN,GAM,1
FRETILN,PIE,0
FRETILN,OPM,0
FRETILN,FALINTIL,0
FRETILN,NCMR,0
FRETILN,Irianese,0
FRETILN,Mob,0
FRETILN,Opposition,0
FRETILN,Youth,0
FRETILN,MM,1
FRETILN,Timorese S,1
FRETILN,MY,0
FRETILN,Timorese C,0
FRETILN,Muslims,0
FRETILN,Timorese G,0
FRETILN,PP,0
FRETILN,Aitarak,0
FRETILN,BMPM,0
FRETILN,AIE,0
FRETILN,PDR,0
FRETILN,Separatists,0
FRETILN,Mahidi,0
FRETILN,JI,0
FRETILN,Militia,0
FRETILN,Gunmen,0
FRETILN,KAK,0
FRETILN,ME,0
FRETILN,FPI,0
FRETILN,Dayak,0
FRETILN,Villagers,0
FRETILN,Mujahedin K,0
FRETILN,Laskar Jihad,0
FRETILN,Extremists,0
FRETILN,Mujahidin A,0
FRETILN,AGAP,0
FRETILN,JAT,0
FRETILN,MIT,0
FRETILN,WIM,0
FRETILN,JAD,0
FRETILN,CE,0
FRETILN,PPI,0
FRETILN,LT,0
FRETILN,ISIL,0
FRETILN,JIE,0
HKBP,Ninjas,0
HKBP,FRETILN,2
HKBP,ETE,2
HKBP,ETY,1
HKBP,GAM,1
HKBP,PIE,1
HKBP,OPM,1
HKBP,FALINTIL,1
HKBP,NCMR,0
HKBP,Irianese,0
HKBP,Mob,0
HKBP,Opposition,0
HKBP,Youth,0
HKBP,MM,0
HKBP,Timorese S,0
HKBP,MY,0
HKBP,Timorese C,0
HKBP,Muslims,0
HKBP,Timorese G,0
HKBP,PP,0
HKBP,Aitarak,0
HKBP,BMPM,0
HKBP,AIE,0
HKBP,PDR,0
HKBP,Separatists,0
HKBP,Mahidi,0
HKBP,JI,0
HKBP,Militia,0
HKBP,Gunmen,0
HKBP,KAK,0
HKBP,ME,0
HKBP,FPI,0
HKBP,Dayak,0
HKBP,Villagers,0
HKBP,Mujahedin K,0
HKBP,Laskar Jihad,0
HKBP,Extremists,0
HKBP,Mujahidin A,0
HKBP,AGAP,0
HKBP,JAT,0
HKBP,MIT,0
HKBP,WIM,0
HKBP,JAD,0
HKBP,CE,0
HKBP,PPI,0
HKBP,LT,0
HKBP,ISIL,0
HKBP,JIE,0
ETE,Ninjas,0
ETE,FRETILN,2
ETE,HKBP,2
ETE,ETY,2
ETE,GAM,1
ETE,PIE,1
ETE,OPM,2
ETE,FALINTIL,1
ETE,NCMR,0
ETE,Irianese,0
ETE,Mob,0
ETE,Opposition,0
ETE,Youth,1
ETE,MM,1
ETE,Timorese S,1
ETE,MY,1
ETE,Timorese C,1
ETE,Muslims,1
ETE,Timorese G,1
ETE,PP,0
ETE,Aitarak,0
ETE,BMPM,0
ETE,AIE,0
ETE,PDR,0
ETE,Separatists,0
ETE,Mahidi,0
ETE,JI,0
ETE,Militia,0
ETE,Gunmen,0
ETE,KAK,0
ETE,ME,0
ETE,FPI,0
ETE,Dayak,0
ETE,Villagers,0
ETE,Mujahedin K,0
ETE,Laskar Jihad,0
ETE,Extremists,0
ETE,Mujahidin A,0
ETE,AGAP,0
ETE,JAT,0
ETE,MIT,0
ETE,WIM,0
ETE,JAD,0
ETE,CE,0
ETE,PPI,0
ETE,LT,0
ETE,ISIL,0
ETE,JIE,0
ETY,Ninjas,0
ETY,FRETILN,2
ETY,HKBP,1
ETY,ETE,2
ETY,GAM,1
ETY,PIE,0
ETY,OPM,0
ETY,FALINTIL,0
ETY,NCMR,0
ETY,Irianese,0
ETY,Mob,0
ETY,Opposition,0
ETY,Youth,0
ETY,MM,1
ETY,Timorese S,1
ETY,MY,0
ETY,Timorese C,0
ETY,Muslims,0
ETY,Timorese G,0
ETY,PP,0
ETY,Aitarak,0
ETY,BMPM,0
ETY,AIE,0
ETY,PDR,0
ETY,Separatists,0
ETY,Mahidi,0
ETY,JI,0
ETY,Militia,0
ETY,Gunmen,0
ETY,KAK,0
ETY,ME,0
ETY,FPI,0
ETY,Dayak,0
ETY,Villagers,0
ETY,Mujahedin K,0
ETY,Laskar Jihad,0
ETY,Extremists,0
ETY,Mujahidin A,0
ETY,AGAP,0
ETY,JAT,0
ETY,MIT,0
ETY,WIM,0
ETY,JAD,0
ETY,CE,0
ETY,PPI,0
ETY,LT,0
ETY,ISIL,0
ETY,JIE,0
GAM,Ninjas,0
GAM,FRETILN,1
GAM,HKBP,1
GAM,ETE,1
GAM,ETY,1
GAM,PIE,1
GAM,OPM,4
GAM,FALINTIL,0
GAM,NCMR,0
GAM,Irianese,0
GAM,Mob,0
GAM,Opposition,0
GAM,Youth,0
GAM,MM,0
GAM,Timorese S,0
GAM,MY,0
GAM,Timorese C,0
GAM,Muslims,1
GAM,Timorese G,0
GAM,PP,1
GAM,Aitarak,1
GAM,BMPM,2
GAM,AIE,1
GAM,PDR,1
GAM,Separatists,3
GAM,Mahidi,1
GAM,JI,6
GAM,Militia,1
GAM,Gunmen,3
GAM,KAK,1
GAM,ME,3
GAM,FPI,1
GAM,Dayak,1
GAM,Villagers,1
GAM,Mujahedin K,1
GAM,Laskar Jihad,2
GAM,Extremists,1
GAM,Mujahidin A,0
GAM,AGAP,0
GAM,JAT,0
GAM,MIT,0
GAM,WIM,0
GAM,JAD,0
GAM,CE,0
GAM,PPI,0
GAM,LT,0
GAM,ISIL,0
GAM,JIE,0
PIE,Ninjas,0
PIE,FRETILN,0
PIE,HKBP,1
PIE,ETE,1
PIE,ETY,0
PIE,GAM,1
PIE,OPM,2
PIE,FALINTIL,1
PIE,NCMR,0
PIE,Irianese,0
PIE,Mob,0
PIE,Opposition,0
PIE,Youth,0
PIE,MM,0
PIE,Timorese S,0
PIE,MY,0
PIE,Timorese C,0
PIE,Muslims,0
PIE,Timorese G,0
PIE,PP,0
PIE,Aitarak,0
PIE,BMPM,1
PIE,AIE,0
PIE,PDR,0
PIE,Separatists,1
PIE,Mahidi,1
PIE,JI,0
PIE,Militia,0
PIE,Gunmen,0
PIE,KAK,0
PIE,ME,0
PIE,FPI,0
PIE,Dayak,0
PIE,Villagers,0
PIE,Mujahedin K,0
PIE,Laskar Jihad,0
PIE,Extremists,0
PIE,Mujahidin A,0
PIE,AGAP,0
PIE,JAT,0
PIE,MIT,0
PIE,WIM,0
PIE,JAD,0
PIE,CE,0
PIE,PPI,0
PIE,LT,0
PIE,ISIL,0
PIE,JIE,0
OPM,Ninjas,0
OPM,FRETILN,0
OPM,HKBP,1
OPM,ETE,2
OPM,ETY,0
OPM,GAM,4
OPM,PIE,2
OPM,FALINTIL,1
OPM,NCMR,1
OPM,Irianese,1
OPM,Mob,0
OPM,Opposition,1
OPM,Youth,2
OPM,MM,0
OPM,Timorese S,0
OPM,MY,0
OPM,Timorese C,0
OPM,Muslims,1
OPM,Timorese G,1
OPM,PP,0
OPM,Aitarak,0
OPM,BMPM,1
OPM,AIE,0
OPM,PDR,0
OPM,Separatists,3
OPM,Mahidi,1
OPM,JI,0
OPM,Militia,0
OPM,Gunmen,2
OPM,KAK,0
OPM,ME,4
OPM,FPI,1
OPM,Dayak,1
OPM,Villagers,0
OPM,Mujahedin K,0
OPM,Laskar Jihad,0
OPM,Extremists,0
OPM,Mujahidin A,0
OPM,AGAP,0
OPM,JAT,1
OPM,MIT,7
OPM,WIM,1
OPM,JAD,3
OPM,CE,1
OPM,PPI,0
OPM,LT,1
OPM,ISIL,0
OPM,JIE,0
FALINTIL,Ninjas,0
FALINTIL,FRETILN,0
FALINTIL,HKBP,1
FALINTIL,ETE,1
FALINTIL,ETY,0
FALINTIL,GAM,0
FALINTIL,PIE,1
FALINTIL,OPM,1
FALINTIL,NCMR,0
FALINTIL,Irianese,0
FALINTIL,Mob,0
FALINTIL,Opposition,0
FALINTIL,Youth,0
FALINTIL,MM,0
FALINTIL,Timorese S,0
FALINTIL,MY,0
FALINTIL,Timorese C,0
FALINTIL,Muslims,0
FALINTIL,Timorese G,0
FALINTIL,PP,0
FALINTIL,Aitarak,0
FALINTIL,BMPM,0
FALINTIL,AIE,0
FALINTIL,PDR,0
FALINTIL,Separatists,0
FALINTIL,Mahidi,0
FALINTIL,JI,0
FALINTIL,Militia,0
FALINTIL,Gunmen,0
FALINTIL,KAK,0
FALINTIL,ME,0
FALINTIL,FPI,0
FALINTIL,Dayak,0
FALINTIL,Villagers,0
FALINTIL,Mujahedin K,0
FALINTIL,Laskar Jihad,0
FALINTIL,Extremists,0
FALINTIL,Mujahidin A,0
FALINTIL,AGAP,0
FALINTIL,JAT,0
FALINTIL,MIT,0
FALINTIL,WIM,0
FALINTIL,JAD,0
FALINTIL,CE,0
FALINTIL,PPI,0
FALINTIL,LT,0
FALINTIL,ISIL,0
FALINTIL,JIE,0
NCMR,Ninjas,0
NCMR,FRETILN,0
NCMR,HKBP,0
NCMR,ETE,0
NCMR,ETY,0
NCMR,GAM,0
NCMR,PIE,0
NCMR,OPM,1
NCMR,FALINTIL,0
NCMR,Irianese,1
NCMR,Mob,0
NCMR,Opposition,0
NCMR,Youth,0
NCMR,MM,0
NCMR,Timorese S,0
NCMR,MY,0
NCMR,Timorese C,0
NCMR,Muslims,0
NCMR,Timorese G,0
NCMR,PP,0
NCMR,Aitarak,0
NCMR,BMPM,0
NCMR,AIE,0
NCMR,PDR,0
NCMR,Separatists,0
NCMR,Mahidi,0
NCMR,JI,0
NCMR,Militia,0
NCMR,Gunmen,0
NCMR,KAK,0
NCMR,ME,0
NCMR,FPI,0
NCMR,Dayak,0
NCMR,Villagers,0
NCMR,Mujahedin K,0
NCMR,Laskar Jihad,0
NCMR,Extremists,0
NCMR,Mujahidin A,0
NCMR,AGAP,0
NCMR,JAT,0
NCMR,MIT,0
NCMR,WIM,0
NCMR,JAD,0
NCMR,CE,0
NCMR,PPI,0
NCMR,LT,0
NCMR,ISIL,0
NCMR,JIE,0
Irianese,Ninjas,0
Irianese,FRETILN,0
Irianese,HKBP,0
Irianese,ETE,0
Irianese,ETY,0
Irianese,GAM,0
Irianese,PIE,0
Irianese,OPM,1
Irianese,FALINTIL,0
Irianese,NCMR,1
Irianese,Mob,0
Irianese,Opposition,0
Irianese,Youth,0
Irianese,MM,0
Irianese,Timorese S,0
Irianese,MY,0
Irianese,Timorese C,0
Irianese,Muslims,0
Irianese,Timorese G,0
Irianese,PP,0
Irianese,Aitarak,0
Irianese,BMPM,0
Irianese,AIE,0
Irianese,PDR,0
Irianese,Separatists,0
Irianese,Mahidi,0
Irianese,JI,0
Irianese,Militia,0
Irianese,Gunmen,0
Irianese,KAK,0
Irianese,ME,0
Irianese,FPI,0
Irianese,Dayak,0
Irianese,Villagers,0
Irianese,Mujahedin K,0
Irianese,Laskar Jihad,0
Irianese,Extremists,0
Irianese,Mujahidin A,0
Irianese,AGAP,0
Irianese,JAT,0
Irianese,MIT,0
Irianese,WIM,0
Irianese,JAD,0
Irianese,CE,0
Irianese,PPI,0
Irianese,LT,0
Irianese,ISIL,0
Irianese,JIE,0
Mob,Ninjas,0
Mob,FRETILN,0
Mob,HKBP,0
Mob,ETE,0
Mob,ETY,0
Mob,GAM,0
Mob,PIE,0
Mob,OPM,0
Mob,FALINTIL,0
Mob,NCMR,0
Mob,Irianese,0
Mob,Opposition,0
Mob,Youth,0
Mob,MM,0
Mob,Timorese S,0
Mob,MY,0
Mob,Timorese C,0
Mob,Muslims,0
Mob,Timorese G,0
Mob,PP,0
Mob,Aitarak,0
Mob,BMPM,0
Mob,AIE,0
Mob,PDR,0
Mob,Separatists,0
Mob,Mahidi,0
Mob,JI,0
Mob,Militia,0
Mob,Gunmen,0
Mob,KAK,0
Mob,ME,0
Mob,FPI,0
Mob,Dayak,0
Mob,Villagers,0
Mob,Mujahedin K,0
Mob,Laskar Jihad,0
Mob,Extremists,0
Mob,Mujahidin A,0
Mob,AGAP,0
Mob,JAT,0
Mob,MIT,0
Mob,WIM,0
Mob,JAD,0
Mob,CE,0
Mob,PPI,0
Mob,LT,0
Mob,ISIL,0
Mob,JIE,0
Opposition,Ninjas,0
Opposition,FRETILN,0
Opposition,HKBP,0
Opposition,ETE,0
Opposition,ETY,0
Opposition,GAM,0
Opposition,PIE,0
Opposition,OPM,1
Opposition,FALINTIL,0
Opposition,NCMR,0
Opposition,Irianese,0
Opposition,Mob,0
Opposition,Youth,1
Opposition,MM,0
Opposition,Timorese S,0
Opposition,MY,0
Opposition,Timorese C,0
Opposition,Muslims,0
Opposition,Timorese G,0
Opposition,PP,0
Opposition,Aitarak,0
Opposition,BMPM,0
Opposition,AIE,0
Opposition,PDR,0
Opposition,Separatists,0
Opposition,Mahidi,0
Opposition,JI,0
Opposition,Militia,0
Opposition,Gunmen,0
Opposition,KAK,0
Opposition,ME,0
Opposition,FPI,0
Opposition,Dayak,0
Opposition,Villagers,0
Opposition,Mujahedin K,0
Opposition,Laskar Jihad,0
Opposition,Extremists,0
Opposition,Mujahidin A,0
Opposition,AGAP,0
Opposition,JAT,0
Opposition,MIT,0
Opposition,WIM,0
Opposition,JAD,0
Opposition,CE,0
Opposition,PPI,0
Opposition,LT,0
Opposition,ISIL,0
Opposition,JIE,0
Youth,Ninjas,0
Youth,FRETILN,0
Youth,HKBP,0
Youth,ETE,1
Youth,ETY,0
Youth,GAM,0
Youth,PIE,0
Youth,OPM,2
Youth,FALINTIL,0
Youth,NCMR,0
Youth,Irianese,0
Youth,Mob,0
Youth,Opposition,1
Youth,MM,0
Youth,Timorese S,0
Youth,MY,0
Youth,Timorese C,0
Youth,Muslims,1
Youth,Timorese G,1
Youth,PP,0
Youth,Aitarak,0
Youth,BMPM,0
Youth,AIE,0
Youth,PDR,0
Youth,Separatists,0
Youth,Mahidi,0
Youth,JI,0
Youth,Militia,0
Youth,Gunmen,0
Youth,KAK,0
Youth,ME,0
Youth,FPI,0
Youth,Dayak,0
Youth,Villagers,0
Youth,Mujahedin K,0
Youth,Laskar Jihad,0
Youth,Extremists,0
Youth,Mujahidin A,0
Youth,AGAP,0
Youth,JAT,0
